Symbol,Company,Industry
FTLF,FitLife Brands Inc,Personal Products
FVRG,ForeverGreen Worldwide Corp,Food Products
GBLP,Global Pharmatech Inc.,Personal Products
GCEH,"Global Clean Energy Holdings, Inc.",Food Products
GELT,General Agriculture Corp,Food Products
GFOO,Genufood Energy Enzymes Corp,Personal Products
GGROU,Golden Growers Coop,Food Products
GIS,"General Mills, Inc.",Food Products
GLGLF,GLG Life Tech Corp,Food Products
GLLA,Gilla Inc,Personal Products
GPDB,Green Polkadot Box Inc,Food & Staples Retailing
GRCU,Green Cures & Botanical Distribution Inc,Personal Products
GRO,Agria Corporation (ADR),Food Products
GRSU,Greenhouse Solutions Inc,Personal Products
GRTD,Vapir Enterprises Inc,Tobacco
GVHIB,Global Vision Holdings Inc,Food Products
GWTI,Greenway Technologies Inc,Food Products
HAIN,Hain Celestial Group Inc,Food Products
HBRM,"Herborium Group, Inc.",Personal Products
HCEI,Healthy Coffee International Inc,Food Products
HCMC,Healthier Choices Management Corp,Tobacco
HEINY,Heineken N.V. (ADR),Beverages
HERB,Yasheng Group,Food Products
HESG,"Health Sciences Group, Inc.",Food & Staples Retailing
HIPH,American Premium Water Corp,Beverages
HLF,Herbalife Ltd.,Personal Products
HLNFF,HIGH LINER FOODS INC,Food Products
HOTF,Hot Mama's Foods Inc,Food Products
HRG,HRG Group Inc,Household Products
HRL,Hormel Foods Corp,Food Products
HRNF,Heathrow Natural Food & Beverage Inc,Food & Staples Retailing
HSY,Hershey Co,Food Products
IAGX,"Imagenetix, Inc.",Personal Products
IBA,"Industrias Bachoco, S.A.B. de C.V. (ADR)",Food Products
ICNB,Iconic Brands Inc,Beverages
IFMK,iFresh Inc,Food & Staples Retailing
IGPFF,Imperial Ginseng Products Ltd. (USA),Food Products
IMBBY,Imperial Brands PLC (ADR),Tobacco
IMKTA,"Ingles Markets, Incorporated",Food & Staples Retailing
IMMD,ImmuDyne Inc,Personal Products
INBP,"Integrated BioPharma, Inc.",Personal Products
INGR,Ingredion Inc,Food Products
INPCF,INPUT CAPITAL CORP,Food Products
IPAR,"Inter Parfums, Inc.",Personal Products
IPLB,iPure Labs Inc,Personal Products
IVFH,Innovative Food Holdings Inc,Food & Staples Retailing
JAMN,Jammin Java Corp,Food Products
JBSS,"John B. Sanfilippo & Son, Inc.",Food Products
JJSF,J & J Snack Foods Corp,Food Products
JOEY,Joey New York Inc,Personal Products
JSAIY,J Sainsbury plc (ADR),Food & Staples Retailing
JSDA,Jones Soda Co. ( USA ),Beverages
JVA,"Coffee Holding Co., Inc.",Food Products
K,Kellogg Company,Food Products
KHC,Kraft Heinz Co,Food Products
KKFC,Kaibo Foods Co Ltd,Food Products
KMB,Kimberly Clark Corp,Household Products
KNBWY,Kirin Holdings Co Ltd (ADR),Beverages
KO,The Coca-Cola Co,Beverages
KOF,"Coca-Cola FEMSA, S.A.B. de C.V. (ADR)",Beverages
KR,Kroger Co,Food & Staples Retailing
KRED,Konared Corp,Food Products
LANC,Lancaster Colony Corp.,Food Products
LATF,Latteno Food Corp,Food Products
LBCC,Long Blockchain Corp,Beverages
LBIX,"Leading Brands, Inc (USA)",Beverages
LFVN,LifeVantage Corp,Personal Products
LMNR,Limoneira Company,Food Products
LNDC,Landec Corporation,Food Products
LQSIF,LIQUOR STORES N.A. LTD,Food & Staples Retailing
LQWCD,LifeQuest World Corp,Personal Products
LSDAF,LASSONDE INDS INC CL A SUB VTG,Food Products
LTSN,LTS Nutraceuticals Inc,Personal Products
LUCC,Luca Inc,Food Products
LUSI,Louisiana Food Co,Food Products
LVVV,Livewire Ergogenics Inc,Personal Products
LW,Lamb Weston Holdings Inc,Food Products
LWAY,"Lifeway Foods, Inc.",Food Products
MCIG,mCig Inc,Tobacco
MDLZ,Mondelez International Inc,Food Products
MED,Medifast Inc,Personal Products
MENB,Mendocino Brewing Co Inc,Beverages
MGPI,MGP Ingredients Inc,Beverages
MINE,Minerco Inc,Beverages
MIXX,MIX 1 LIFE Inc,Personal Products
MKC,"McCormick & Company, Incorporated",Food Products
MMMB,Mamamancini's Holdings Inc,Food Products
MNST,Monster Beverage Corp,Beverages
MO,Altria Group Inc,Tobacco
MOJO,MOJO Organics Inc,Beverages
MSAH,Man Shing Agricultural Holdings Inc,Food Products
MSLP,MusclePharm Corp,Personal Products
MTEX,"Mannatech, Inc.",Personal Products
MYDP,Dougherty's Pharmacy Inc,Food & Staples Retailing
MYHI,Mountain High Acquisitions Corp,Personal Products
MYOS,MYOS RENS Technology Inc,Personal Products
NAII,"Natural Alternatives International, Inc.",Personal Products
NATR,Nature's Sunshine Prod.,Personal Products
NBEV,New Age Beverages Corp,Beverages
NEPT,Neptune Technologies & Bioressources-Ord,Personal Products
NGMC,Next Generation Management Corp,Food & Staples Retailing
NGVC,Natural Grocers by Vitamin Cottage Inc,Food & Staples Retailing
NHLE,Nhale Inc,Tobacco
NHTC,Natural Health Trends Corp.,Personal Products
NIUS,Niusule Bio Pharmaceutical Corporation,Personal Products
NNUTU,Royal Hawaiian Orchards LP,Food Products
NOMD,Nomad Foods Ltd,Food Products
NRTI,Inergetics Inc,Personal Products
NTFU,NutraFuels Inc,Personal Products
NUIN,Nutrastar International Inc,Personal Products
NUS,"Nu Skin Enterprises, Inc.",Personal Products
NUUU,Rejuvel Bio-Sciences Inc,Personal Products
NUVM,"NuVim (R), Inc.",Personal Products
NXRA,"Nextera Enterprises, Inc.",Personal Products
NXTH,NXT Nutritionals Holdings Inc,Personal Products
OBCI,"Ocean Bio-Chem, Inc.",Household Products
OCSM,Ocean Smart Inc,Food Products
ODC,Oil-Dri Corporation of America,Household Products
OMSH,Omni Shrimp Inc,Food & Staples Retailing
PARF,"Paradise, Inc.",Food Products
PBEV,Premium Beverage Group Inc,Beverages
PCGR,Personal Care Group Inc,Personal Products
PEP,"PepsiCo, Inc.",Beverages
PF,Pinnacle Foods Inc,Food Products
PFGC,Performance Food Group Co,Food & Staples Retailing
PG,Procter & Gamble Co,Household Products
PHLI,"PacificHealth Laboratories, Inc.",Personal Products
PLSB,Pulse Beverage Corp,Beverages
PM,Philip Morris International Inc.,Tobacco
PME,Pingtan Marine Enterprise Ltd,Food Products
PMPG,Premier Products Group Inc,Personal Products
POST,Post Holdings Inc,Food Products
PPBV,Purple Beverage Company Inc,Beverages
PPC,Pilgrim's Pride Corporation,Food Products
PRBZF,Premium Brands Holdings Corp,Food Products
PRMW,Primo Water Corporation,Beverages
PSMT,"PriceSmart, Inc.",Food & Staples Retailing
PURE,PURE Bioscience,Household Products
PUSH,Publix Super Markets Inc.,Food & Staples Retailing
QKLS,QKL Stores Inc,Food & Staples Retailing
RAD,Rite Aid Corporation,Food & Staples Retailing
RBCL,RBC Life Sciences Inc.,Personal Products
RCGP,Radiant Creations Group Inc,Personal Products
REED,"Reed's, Inc.",Beverages
RELV,"Reliv International, Inc",Personal Products
REV,Revlon Inc,Personal Products
RFMK,Medigreen Holdings Corp,Tobacco
RIBT,RiceBran Technologies,Food Products
RKDA,Arcadia Biosciences Inc,Food Products
RLBD,Real Brands Inc,Beverages
RLIA,Reliabrand Inc,Personal Products
RMCF,"Rocky Mountain Chocolate Factory, Inc.",Food Products
ROX,Castle Brands Inc,Beverages
RSAU,RooShine Inc,Beverages
RSGUF,ROGERS SUGAR INC,Food Products
SAFM,"Sanderson Farms, Inc.",Food Products
SAM,Boston Beer Company Inc,Beverages
SANW,S&W Seed Company,Food Products
SCRCQ,"ScripsAmerica, Inc.",Food & Staples Retailing
SDOIA,Special Diversified Opportunities Inc,Tobacco
SEB,Seaboard Corp,Food Products
SEED,Origin Agritech Ltd.,Food Products
SENEA,Seneca Foods Corp,Food Products
SENZ,Sport Endurance Inc,Personal Products
SFM,Sprouts Farmers Market Inc,Food & Staples Retailing
SFS,Smart & Final Stores Inc,Food & Staples Retailing
SHMP,NaturalShrimp Inc,Food Products
SIAF,Sino Agro Food Inc,Food Products
SJM,J M Smucker Co,Food Products
SKVI,Skinvisible Inc,Personal Products
SLGD,Scott's Liquid Gold Inc.,Personal Products
SNYR,Synergy CHC Corp,Personal Products
SOUPQ,Soupman Inc,Food Products
SPB,"Spectrum Brands Holdings, Inc.",Household Products
SPCO,Stephan Co,Personal Products
SPTN,SpartanNash Co,Food & Staples Retailing
SSDOY,Shiseido Co. LTD. (ADR),Personal Products
SSTT,SStartrade Tech Inc,Food Products
STEV,Stevia Corp,Food Products
STKL,"SunOpta, Inc. (USA)",Food Products
STZ,"Constellation Brands, Inc.",Beverages
SVIN,Scheid Vineyards Inc,Food Products
SVU,SUPERVALU INC.,Food & Staples Retailing
SWRI,"Sea wright Holdings, Inc.",Beverages
SWSSF,TEN PEAKS COFFEE CO INC,Food Products
SYBRQ,"Synergy Brands, Inc.",Food Products
SYY,SYSCO Corporation,Food & Staples Retailing
SZSN,"Shandong Zhouyuan Sd. & Nrsry. Co., Ltd.",Food Products
TAP,Molson Coors Brewing Co,Beverages
TATYY,Tate & Lyle PLC (ADR),Food Products
TDNT,Trident Brands Inc,Personal Products
THS,TreeHouse Foods Inc.,Food Products
THST,Truett-Hurst Inc,Beverages
TIS,Orchids Paper Products Company,Household Products
TLCC,Twinlab Consolidated Holdings Inc,Personal Products
TOFB,Tofutti Brands Inc.,Food Products
TPB,Turning Point Brands Inc,Tobacco
TR,"Tootsie Roll Industries, Inc.",Food Products
TRUU,True Drinks Holdings Inc,Beverages
TSCDY,Tesco PLC (ADR),Food & Staples Retailing
TSN,"Tyson Foods, Inc.",Food Products
TWNK,Hostess Brands Inc,Food Products
TWSI,Tristar Wellness Solutions Inc,Personal Products
TYHT,Shineco Inc,Personal Products
UG,"United-Guardian, Inc.",Personal Products
UL,Unilever plc (ADR),Personal Products
UMAM,Umami Sustainable Seafood Inc.,Food Products
UN,Unilever NV (ADR),Personal Products
UNFI,"United Natural Foods, Inc.",Food & Staples Retailing
UPDC,UPD Holding Corp,Personal Products
URBF,Urban Barns Foods Inc,Food Products
USFD,US Foods Holding Corp,Food & Staples Retailing
USNA,"USANA Health Sciences, Inc.",Personal Products
UVV,Universal Corp,Tobacco
VCO,Vina Concha y Toro SA (ADR),Beverages
VERU,Veru Inc,Personal Products
VFFIF,VILLAGE FARMS INTL INC,Food Products
VGR,Vector Group Ltd,Tobacco
VHUB,Vapor Hub International Inc,Tobacco
VLGEA,"Village Super Market, Inc.",Food & Staples Retailing
VPRB,VPR Brands LP,Tobacco
VPRIF,VITALITY PRODUCTS INC,Personal Products
WBA,Walgreens Boots Alliance Inc,Food & Staples Retailing
WCIG,Wee-Cig International Corp,Tobacco
WDFC,WD-40 Company,Household Products
WDKA,Panache Beverage Inc,Beverages
WILC,G Willi-Food International Ltd,Food & Staples Retailing
WMK,"Weis Markets, Inc.",Food & Staples Retailing
WMMVY,Wal-mart de Mexico S A B de C V (ADR),Food & Staples Retailing
WMT,Walmart Inc,Food & Staples Retailing
WSML,White Smile Global Inc,Personal Products
WTER,Alkaline Water Company Inc,Beverages
WVVI,"Willamette Valley Vineyards, Inc.",Beverages
XXII,22nd Century Group Inc,Tobacco
XYLTF,SWEET NATURAL TRADING CO,Food Products
YEWB,Yew Bio-Pharm Group Inc,Food Products
YGYI,Youngevity International Inc,Personal Products
YSYB,Yanglin Soybean Inc,Food Products
YUII,"Yuhe International, Inc",Food Products
ZIVO,Zivo Bioscience Inc,Personal Products
